DATA,HORA,EVENTO,DESTAQUE,DEPARTAMENTO
03/01/2026,17:00,Ensaio Local (Itapevi),,musica
03/01/2026,18:30,Pré-avaliação de Músicos (Fazendinha),,Música
12/01/2026,19:30,Reunião Comissão Musical (Santada do Parnaíba) - Central,,Música
18/01/2026,09:00,Ensaio Regional - Central (Itapevi),,Música
18/01/2026,09:00,Ensaio Regional - Parque Laranjeira II (Pirapora do Bom Jesus),,Música
19/01/2026,19:30,"Reunião da Parte Musical: Anciães, Encarregados Regionais e Examinadoras - (Regional - Itapevi)",Sim,Música
26/01/2026,19:30,Reunião Secretaria Musical (Jandira),,Música
31/01/2026,09:30,Reunião de Encarregados Locais (Cotia),,Música
01/02/2026,08:00,Visita Técnica - (Itapevi),,Ministério
03/02/2026,19:30,Reunião Musical (Cotia),,Música
07/02/2026,08:00,Pré-avaliação de Organistas (Itapevi),,Música
07/02/2026,17:00,Ensaio Local (Itapevi),,Música
08/02/2026,09:30,"Reunião dos Anciães, Diáconos e Administradores - (Jandira)",,Ministério
09/02/2026,19:30,RLM - Reunião Local Musical (Itapevi) - Central,,Música
11/02/2026,19:30,Reunião do Conselho Gestor da Obra da Piedade e Conselho dos Diáconos - (Regional Itapevi),Sim,Ministério
11/02/2026,19:30,Reunião Comissão Musical (Santada do Parnaíba) - Transmissão Online,,Música
14/02/2026,08:30,CNS - Reunião da Comissão de Negociadores de Suprimentos - Presencial + VIRTUAL (Brás),Sim,Ministério
14/02/2026,09:00,Reunião para atendimento da Obra da Piedade - (Itapevi),,Ministério
14/02/2026,08:00,Reunião para atendimento da Obra da Piedade - (Vargem Grande),,Ministério
14/02/2026,08:00,Reunião para atendimento da Obra da Piedade - (Caucaia do Alto),,Ministério
14/02/2026,10:30,Reunião para atendimento da Obra da Piedade - (Cotia),,Ministério
19/02/2026,17:00,Reunião dos Anciães e Diáconos - (Jandira),,Ministério
19/02/2026,19:30,RMA - Reunião do Ministério e Administração - (Jandira),,Ministério
19/02/2026,19:30,AGO - Assembleia Geral Ordinária - (Itapevi),,Ministério
20/02/2026,19:30,AGO - Assembleia Geral Ordinária - (Jandira),,Ministério
21/02/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
21/02/2026,09:00,Pré-avaliação de Organistas (Cotia) - Parque Alexandre,,Música
21/02/2026,09:00,DARPE - (Regional Itapevi),Sim,Ministério
21/02/2026,09:00,Reunião para atendimento da Obra da Piedade - (Jandira),,Ministério
21/02/2026,19:30,AGO - Assembleia Geral Ordinária - (Cotia),,Ministério
21/02/2026,19:30,AGO - Assembleia Geral Ordinária - (Santana de Parnaíba),,Ministério
24/02/2026,19:30,19:30 - RMA - Reunião do Ministério e Administração - (Santana de Parnaíba),,Ministério
26/02/2026,09:00,CAE - Conselho dos Anciães mais Antigos - Estado de São Paulo - (Brás),Sim,Ministério
26/02/2026,14:00,Reunião de Anciães - (Brás),Sim,Ministério
27/02/2026,19:30,Treinamento para instrutores Parque Santa Tereza (Jandira),,Música
27/02/2026,19:30,RMA - Reunião do Ministério e Administração - (Cotia),,Ministério
28/02/2026,08:30,Reunião dos Anciães e Diáconos - (Itapevi),,Ministério
28/02/2026,09:00,Capacitação para Instrutoras (Cotia),,Música
28/02/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
28/02/2026,09:00,Reunião para atendimento da Obra da Piedade - (Santana de Parnaíba),,Ministério
28/02/2026,10:00,RMA - Reunião do Ministério e Administração - (Itapevi),,Ministério
02/03/2026,19:30,Reunião Secretaria  (Jandira),,Música
07/03/2026,08:00,Teste Final de Organistas (Itapevi),,Música
07/03/2026,17:00,Ensaio Local (Itapevi),,Música
07/03/2026,18:30,Teste Final de Músicos (Fazendinha),,Música
14/03/2026,14:00,Pré-avaliação de Organistas (Jandira),,Música
14/03/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
15/03/2026,09:00,Ensaio Regional – Central (Caucaia do Alto),,Música
15/03/2026,09:00,Ensaio Regional – Vila Monte Serrat/Central (Cotia),,Música
15/03/2026,09:00,Ensaio Regional – Central (Jandira),,Música
15/03/2026,09:00,Ensaio Regional – Fazendinha (Santana de Parnaíba),,Música
15/03/2026,09:00,Ensaio Regional – Portão Vermelho/Central (Vargem Grande),,Música
21/03/2026,09:00,Avaliação de Organistas (Cotia),,Música
27/03/2026,19:30,Capacitação de Instrutoras (Jandira),,Música
28/03/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
28/03/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
30/03/2026,19:30,Reunião Musical com Encarregados Locais (Fazendinha),,Música
04/04/2026,14:00,Avaliação de Organistas (Jandira),,Música
04/04/2026,08:00,Teste Final de Músicos (Itapevi),,Música
04/04/2026,17:00,Ensaio Local (Itapevi),,Música
04/04/2026,18:30,Pré-avaliação de Músicos (Fazendinha),,Música
05/04/2026,09:00,RGE – Reunião Geral Anual de Ensinamentos (Virtual),Sim,Música
07/04/2026,19:30,Reunião Musical (Cotia),,Música
10/04/2026,19:30,Ensaio por Família (Metais) Granja Alvorada (Jandira),,Música
11/04/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
13/04/2026,19:30,Reunião Comissão Musical (Santada do Parnaíba) - Central,,Música
18/04/2026,09:30,Pré-avaliação de Músicos (Cotia),,Música
24/04/2026,19:30,Capacitação de Instrutores - Parque Santa Tereza (Jandira),,Música
25/04/2026,09:00,Capacitação para Instrutoras (Cotia),,Música
25/04/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
25/04/2026,09:00,Capacitação de Instrutoras (Itapevi),,musica
02/05/2026,17:00,Ensaio Local (Itapevi),,Música
02/05/2026,18:30,Teste Final de Músicos (Fazendinha),,Música
03/05/2026,09:30,"Reunião Anual Virtual - Brasil para os Encarregados Regionais, Locais de Orquestras e Examinadoras de Organistas.",Sim,Música
04/05/2026,19:30,Reunião da Secretaria Musical (Jandira),,Música
08/05/2026,19:30,Ensaio por família (Cordas) Masé (Jandira),,Música
09/05/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
16/05/2026,09:30,Avaliação de Músicos (Cotia),,Música
17/05/2026,09:00,Ensaio Regional – Central (Itapevi),,Música
17/05/2026,09:00,Ensaio Regional – Parque Laranjeira II (Pirapora do Bom Jesus),,Música
18/05/2026,19:30,"Reunião da Parte Musical: Anciães, Encarregados Regionais e Examinadoras - (Regional - Itapevi)",Sim,Música
23/05/2026,09:00,Pré-avaliação de Organistas (Cotia),,Música
23/05/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
29/05/2026,19:30,Capacitação para Instrutores -  Parque Santa Tereza (Jandira),,Música
30/05/2026,14:00,Ensaio por Família – Cordas (Cotia),,Música
01/06/2026,19:30,Reunião da Secretaria Jandira (Jandira),,Música
02/06/2026,19:30,Reunião Musical (Cotia),,Música
03/06/2026,19:30,Pré teste para Músicos Jandira Centro (Jandira),,Música
06/06/2026,08:00,Pré-avaliação de Organistas (Itapevi),,Música
06/06/2026,17:00,Ensaio Local (Itapevi),,Música
08/06/2026,19:30,Reunião Comissão Musical (Santada do Parnaíba) - Central,,Música
10/06/2026,19:30,Reunião Musical com Encarregados Locais (Jandira),,Música
12/06/2026,19:30,Ensaio por Família (Madeiras) Jardim Gabriela (Jandira),,Música
13/06/2026,09:00,Capacitação de Instrutoras (Fazendinha),,Música
20/06/2026,09:00,Avaliação de Organistas (Cotia),,Música
26/06/2026,19:30,Capacitação para Instrutores - Parque Santa Tereza (Jandira),,Música
27/06/2026,09:00,Capacitação para Instrutoras (Cotia),,Música
27/06/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
27/06/2026,14:30,Pré-avaliação de Organistas (Fazendinha),,Música
29/06/2026,19:30,Reunião Musical com Encarregados Locais (Fazendinha),,Música
01/07/2026,19:30,Avaliação de Músicos (Jandira),,Música
04/07/2026,08:00,Avaliação de Organistas (Itapevi),,Música
04/07/2026,17:00,Ensaio Local (Itapevi),,Música
04/07/2026,18:30,Pré-avaliação de Músicos (Fazendinha),,Música
19/07/2026,09:00,Ensaio Regional – Central (Caucaia do Alto),,Música
19/07/2026,09:00,Ensaio Regional – Vila Monte Serrat/Central (Cotia),,Música
19/07/2026,09:00,Ensaio Regional – Central (Jandira),,Música
19/07/2026,09:00,Ensaio Regional – Fazendinha (Santana de Parnaíba),,Música
19/07/2026,09:00,Ensaio Regional – Portão Vermelho/Central (Vargem Grande),,Música
20/07/2026,19:30,"Reunião da Parte Musical: Anciães, Encarregados Regionais e Examinadoras - (Regional - Itapevi)",Sim,Música
25/07/2026,14:30,Avaliação de Organistas (Fazendinha),,Música
01/08/2026,08:00,Pré-avaliação de Músicos (Itapevi),,Música
01/08/2026,17:00,Ensaio Local (Itapevi),,Música
01/08/2026,18:30,Teste Final de Músicos (Fazendinha),,Música
04/08/2026,19:30,Reunião Musical (Cotia),,Música
10/08/2026,19:30,Reunião Comissão Musical (Santada do Parnaíba) - Central,,Música
15/08/2026,09:30,Pré-avaliação de Músicos (Cotia),,Música
22/08/2026,08:00,Avaliação de Músicos (Itapevi),,Música
22/08/2026,09:00,Capacitação para Instrutoras (Cotia),,Música
29/08/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
29/08/2026,14:00,Ensaio por Família – Madeiras (Cotia),,Música
05/09/2026,17:00,Ensaio Local (Itapevi),,Música
19/09/2026,09:30,Avaliação de Músicos (Cotia),,Música
20/09/2026,09:00,Ensaio Regional – Central (Itapevi),,Música
20/09/2026,09:00,Ensaio Regional – Parque Laranjeira II (Pirapora do Bom Jesus),,Música
21/09/2026,19:30,Reunião da Parte Musical – Regional Itapevi,Sim,Música
26/09/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
28/09/2026,19:30,Reunião Musical com Encarregados Locais (Fazendinha),,Música
03/10/2026,08:00,Pré-avaliação de Organistas (Itapevi),,Música
03/10/2026,17:00,Ensaio Local (Itapevi),,Música
03/10/2026,18:30,Pré-avaliação de Músicos (Fazendinha),,Música
06/10/2026,19:30,"Reunião Presencial - Capital e Grande São Paulo para Anciães que atendem a Parte Musical , Encarregados Regionais (ERO) e Locais (ELO) de Orquestra e Examinadores de Organistas (EXO).",Sim,Música
13/10/2026,19:30,Reunião Musical (Cotia),,Música
14/10/2026,19:30,Reunião Comissão Musical (Santada do Parnaíba) - Central,,Música
17/10/2026,09:00,Pré-avaliação de Organistas (Cotia),,Música
24/10/2026,09:00,Capacitação para Instrutoras (Cotia),,Música
24/10/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
24/10/2026,14:30,Pré-avaliação de Organistas (Fazendinha),,Música
31/10/2026,09:30,Ensaio por Família – Metais (Cotia),,Música
04/11/2026,19:30,Pré-Teste para Músicos (Jandira),,Música
07/11/2026,14:00,Pré-Teste para Organistas (Jandira),,Música
07/11/2026,08:00,Avaliação de Organistas (Itapevi),,Música
07/11/2026,17:00,Ensaio Local (Itapevi),,Música
07/11/2026,18:30,Avaliação de Músicos (Fazendinha),,Música
15/11/2026,09:00,Ensaio Regional – Central (Caucaia do Alto),,Música
15/11/2026,09:00,Ensaio Regional – Vila Monte Serrat/Central (Cotia),,Música
15/11/2026,09:00,Ensaio Regional – Central (Jandira),,Música
15/11/2026,09:00,Ensaio Regional – Fazendinha (Santana de Parnaíba),,Música
15/11/2026,09:00,Ensaio Regional – Portão Vermelho/Central (Vargem Grande),,Música
16/11/2026,19:30,"Reunião da Parte Musical: Anciães, Encarregados Regionais e Examinadoras - (Regional - Itapevi)",Sim,Música
21/11/2026,08:00,Pré-avaliação de Músicos (Itapevi),,Música
21/11/2026,09:00,Avaliação de Organistas (Cotia),,Música
28/11/2026,09:00,Capacitação de Instrutoras (Itapevi),,Música
01/12/2026,19:30,Reunião Musical (Cotia),,Música
02/12/2026,19:30,Avaliação de Músicos (Jandira),,Música
05/12/2026,14:00,Avaliação de Organistas (Jandira),,Música
05/12/2026,08:00,Avaliação de Músicos (Itapevi),,Música
05/12/2026,17:00,Ensaio Local (Itapevi),,Música
09/12/2026,19:30,Reunião Musical Geral (Jandira),,Música
28/12/2026,19:30,Reunião Musical com Encarregados Locais (Fazendinha),,Música
